pps,avg_size,tcp_ratio,udp_ratio
12.0,411.8333333333333,0.6666666666666666,0.3333333333333333
53.0,465.2641509433962,0.9622641509433962,0.03773584905660377
1.0,54.0,1.0,0.0
26.0,342.96153846153845,1.0,0.0
10.0,532.6,0.8,0.2
45.0,431.3333333333333,0.5555555555555556,0.4444444444444444
16.0,119.75,0.75,0.25
209.0,626.2296650717703,0.2583732057416268,0.7416267942583732
105.0,502.0952380952381,0.1523809523809524,0.8476190476190476
19.0,177.21052631578948,0.631578947368421,0.3684210526315789
141.0,618.4964539007092,0.12056737588652482,0.8794326241134752
2.0,71.5,0.0,1.0
34.0,484.0882352941176,0.058823529411764705,0.9411764705882353
82.0,443.6341463414634,0.6463414634146342,0.35365853658536583
67.0,470.1194029850746,0.3283582089552239,0.6716417910447762
780.0,1030.047435897436,0.21923076923076923,0.7807692307692308
1285.0,967.4996108949416,0.25836575875486384,0.7416342412451362
309.0,907.4174757281553,0.10355987055016182,0.8964401294498382
683.0,1094.7408491947292,0.0,1.0
819.0,1142.126984126984,0.029304029304029304,0.9706959706959707
395.0,798.2632911392406,0.28607594936708863,0.7139240506329114
400.0,822.965,0.13,0.87
298.0,767.3859060402684,0.03355704697986577,0.9664429530201343
322.0,1000.77950310559,0.018633540372670808,0.9813664596273292
291.0,787.8797250859106,0.048109965635738834,0.9518900343642611
174.0,777.2701149425287,0.0,1.0
154.0,642.5194805194806,0.0,1.0
170.0,697.9529411764706,0.011764705882352941,0.9882352941176471
292.0,819.1712328767123,0.0,1.0
326.0,868.8527607361963,0.006134969325153374,0.9938650306748467
1299.0,956.1478060046189,0.01924557351809084,0.9807544264819091
730.0,780.7917808219178,0.2232876712328767,0.7767123287671233
1002.0,829.9800399201597,0.3323353293413174,0.6676646706586826
777.0,824.989703989704,0.5714285714285714,0.42857142857142855
699.0,927.1616595135908,0.3090128755364807,0.6909871244635193
527.0,590.9563567362429,0.17836812144212524,0.8216318785578748
571.0,618.8476357267951,0.2574430823117338,0.7425569176882661
1670.0,1087.9736526946108,0.3155688622754491,0.6844311377245509
873.0,760.3424971363115,0.6231386025200458,0.3768613974799542
563.0,906.943161634103,0.11545293072824156,0.8845470692717584
331.0,1613.060422960725,0.30513595166163143,0.6948640483383686
126.0,910.9920634920635,0.023809523809523808,0.9761904761904762
52.0,455.9230769230769,0.07692307692307693,0.9230769230769231
85.0,846.635294117647,0.058823529411764705,0.9411764705882353
56.0,687.1785714285714,0.17857142857142858,0.8214285714285714
492.0,1239.9939024390244,0.0040650406504065045,0.9959349593495935
47.0,1084.468085106383,0.0,1.0
43.0,789.3488372093024,0.3023255813953488,0.6976744186046512
101.0,976.3564356435644,0.0,1.0
70.0,739.9142857142857,0.14285714285714285,0.8571428571428571
109.0,698.183486238532,0.01834862385321101,0.981651376146789
79.0,604.5569620253165,0.0,1.0
